X,Y,Z
7.48675,1.92412,0.469953
7.48275,1.90981,0.469737
7.48275,1.8965,0.469737
7.48375,1.88344,0.469791
7.51875,1.87872,0.471685
7.46175,-1.73062,0.4686
7.43775,-1.738,0.467302
7.43675,-1.75098,0.467247
7.43675,-1.7642,0.467247
7.43975,-1.77817,0.46741
7.47975,1.92235,0.456275
7.47775,1.90855,0.45617
7.47775,1.89526,0.45617
7.47975,1.88245,0.456275
7.49375,1.87259,0.457007
7.44875,-1.72746,0.454653
7.43575,-1.73751,0.453973
7.43475,-1.75048,0.453921
7.43475,-1.7637,0.453921
7.43575,-1.77717,0.453973
7.47975,1.92235,0.442975
7.47775,1.90855,0.442874
7.47775,1.89526,0.442874
7.47975,1.88245,0.442975
7.49375,1.87259,0.443682
7.44875,-1.72746,0.44141
7.43575,-1.73751,0.440753
7.43475,-1.75048,0.440703
7.43475,-1.7637,0.440703
7.43575,-1.77717,0.440753
7.47975,1.92235,0.429676
7.47775,1.90855,0.429579
7.47775,1.89526,0.429579
7.47975,1.88245,0.429676
7.49375,1.87259,0.430358
7.44875,-1.72746,0.428166
7.43575,-1.73751,0.427533
7.43475,-1.75048,0.427484
7.43475,-1.7637,0.427484
7.43575,-1.77717,0.427533
7.47975,1.92235,0.416376
7.47775,1.90855,0.416283
7.47775,1.89526,0.416283
7.47975,1.88245,0.416376
7.49375,1.87259,0.417033
7.44875,-1.72746,0.414923
7.43575,-1.73751,0.414313
7.43475,-1.75048,0.414266
7.43475,-1.7637,0.414266
7.43575,-1.77717,0.414313
7.47975,1.92235,0.403077
7.47775,1.90855,0.402987
7.47775,1.89526,0.402987
7.47875,1.88221,0.403032
7.49375,1.87259,0.403708
7.44875,-1.72746,0.401679
7.43575,-1.73751,0.401093
7.43475,-1.75048,0.401048
7.43475,-1.7637,0.401048
7.43575,-1.77717,0.401093
7.47975,1.92235,0.389777
7.47775,1.90855,0.389691
7.47775,1.89526,0.389691
7.47875,1.88221,0.389734
7.49375,1.87259,0.390384
7.44875,-1.72746,0.388435
7.43575,-1.73751,0.387873
7.43475,-1.75048,0.387829
7.43475,-1.7637,0.387829
7.43575,-1.77717,0.387873
7.47975,1.92235,0.376478
7.47775,1.90855,0.376395
7.47775,1.89526,0.376395
7.47875,1.88221,0.376437
7.49375,1.87259,0.377059
7.44875,-1.72746,0.375192
7.43575,-1.73751,0.374653
7.43475,-1.75048,0.374611
7.43475,-1.7637,0.374611
7.43575,-1.77717,0.374653
7.47975,1.92235,0.363179
7.47775,1.90855,0.363099
7.47775,1.89526,0.363099
7.47875,1.88221,0.363139
7.49375,1.87259,0.363734
7.44875,-1.72746,0.361948
7.43575,-1.73751,0.361432
7.43475,-1.75048,0.361393
7.43475,-1.7637,0.361393
7.43575,-1.77717,0.361432
7.47975,1.92235,0.349879
7.47775,1.90855,0.349803
7.47775,1.89526,0.349803
7.47875,1.88221,0.349841
7.49375,1.87259,0.350409
7.44875,-1.72746,0.348705
7.43575,-1.73751,0.348212
7.43475,-1.75048,0.348174
7.43475,-1.7637,0.348174
7.43575,-1.77717,0.348212
7.47975,1.92235,0.33658
7.47775,1.90855,0.336507
7.47775,1.89526,0.336507
7.47875,1.88221,0.336544
7.49375,1.87259,0.337085
7.44875,-1.72746,0.335461
7.43575,-1.73751,0.334992
7.43475,-1.75048,0.334956
7.43475,-1.7637,0.334956
7.43575,-1.77717,0.334992
7.47975,1.92235,0.32328
7.47775,1.90855,0.323212
7.47775,1.89526,0.323212
7.47875,1.88221,0.323246
7.49375,1.87259,0.32376
7.44875,-1.72746,0.322218
7.43575,-1.73751,0.321772
7.43475,-1.75048,0.321738
7.43475,-1.7637,0.321738
7.43575,-1.77717,0.321772
7.47975,1.92235,0.309981
7.47775,1.90855,0.309916
7.47775,1.89526,0.309916
7.47875,1.88221,0.309948
7.49375,1.87259,0.310435
7.44875,-1.72746,0.308974
7.43575,-1.73751,0.308552
7.43475,-1.75048,0.30852
7.43475,-1.7637,0.30852
7.43575,-1.77717,0.308552
7.47975,1.92235,0.296681
7.47775,1.90855,0.29662
7.47775,1.89526,0.29662
7.47875,1.88221,0.29665
7.49375,1.87259,0.29711
7.44875,-1.72746,0.295731
7.43575,-1.73751,0.295332
7.43475,-1.75048,0.295301
7.43475,-1.7637,0.295301
7.43575,-1.77717,0.295332
7.47975,1.92235,0.283382
7.47775,1.90855,0.283324
7.47775,1.89526,0.283324
7.47875,1.88221,0.283353
7.49375,1.87259,0.283786
7.44875,-1.72746,0.282487
7.43575,-1.73751,0.282112
7.43475,-1.75048,0.282083
7.43475,-1.7637,0.282083
7.43575,-1.77717,0.282112
7.47975,1.92235,0.270082
7.47775,1.90855,0.270028
7.47775,1.89526,0.270028
7.47875,1.88221,0.270055
7.49375,1.87259,0.270461
7.44875,-1.72746,0.269243
7.43575,-1.73751,0.268892
7.43475,-1.75048,0.268865
7.43475,-1.7637,0.268865
7.43575,-1.77717,0.268892
7.47975,1.92235,0.256783
7.47775,1.90855,0.256732
7.47775,1.89526,0.256732
7.47875,1.88221,0.256757
7.49375,1.87259,0.257136
7.44875,-1.72746,0.256
7.43575,-1.73751,0.255672
7.43475,-1.75048,0.255646
7.43475,-1.7637,0.255646
7.43575,-1.77717,0.255672
7.47975,1.92235,0.243483
7.47775,1.90855,0.243436
7.47775,1.89526,0.243436
7.47875,1.88221,0.24346
7.49375,1.87259,0.243812
7.44875,-1.72746,0.242756
7.43575,-1.73751,0.242451
7.43475,-1.75048,0.242428
7.43475,-1.7637,0.242428
7.43575,-1.77717,0.242451
7.47975,1.92235,0.230184
7.47775,1.90855,0.23014
7.47775,1.89526,0.23014
7.47875,1.88221,0.230162
7.49375,1.87259,0.230487
7.44875,-1.72746,0.229513
